Measure,Metric,Risk,Cause,Location,Age,Sex,Year,Value,Upper,Lower
Deaths,Number,Air pollution,All causes,Poland,All ages,Both sexes,1990,51815.26,65324.66,37619.02
Deaths,Rate,Air pollution,All causes,Poland,All ages,Both sexes,1990,135.79,171.20,98.59
Deaths,Number,Air pollution,All causes,Albania,All ages,Both sexes,1990,2964.75,3483.89,2387.11
Deaths,Rate,Air pollution,All causes,Albania,All ages,Both sexes,1990,89.57,105.26,72.12
Deaths,Rate,Air pollution,All causes,Czechia,All ages,Both sexes,1990,132.29,192.48,73.31
Deaths,Rate,Air pollution,All causes,Czechia,Age-standardized,Both sexes,1990,101.23,146.75,56.16
Deaths,Number,Air pollution,All causes,Bulgaria,All ages,Both sexes,1990,16706.84,22050.11,11603.74
Deaths,Rate,Air pollution,All causes,Bulgaria,All ages,Both sexes,1990,192.45,254.00,133.67
Deaths,Rate,Air pollution,All causes,Bulgaria,Age-standardized,Both sexes,1990,153.51,203.32,106.35
Deaths,Rate,Air pollution,All causes,Albania,Age-standardized,Both sexes,1990,146.67,170.63,118.72
Deaths,Rate,Air pollution,All causes,Poland,Age-standardized,Both sexes,1990,124.38,156.90,90.06
Deaths,Rate,Air pollution,All causes,Finland,Age-standardized,Both sexes,1990,19.64,42.32,2.74
Deaths,Number,Air pollution,All causes,North Macedonia,All ages,Both sexes,1990,3036.09,3507.22,2475.92
Deaths,Rate,Air pollution,All causes,North Macedonia,All ages,Both sexes,1990,150.64,174.02,122.85
Deaths,Rate,Air pollution,All causes,Austria,Age-standardized,Both sexes,1990,44.59,68.48,23.70
Deaths,Number,Air pollution,All causes,Belarus,All ages,Both sexes,1990,11707.60,17178.48,6503.71
Deaths,Rate,Air pollution,All causes,Belarus,All ages,Both sexes,1990,111.82,164.07,62.12
Deaths,Rate,Air pollution,All causes,Belarus,Age-standardized,Both sexes,1990,94.06,138.07,52.84
Deaths,Number,Air pollution,All causes,Germany,All ages,Both sexes,1990,64605.19,101691.65,31585.86
Deaths,Rate,Air pollution,All causes,Germany,All ages,Both sexes,1990,80.82,127.21,39.51
Deaths,Rate,Air pollution,All causes,Germany,Age-standardized,Both sexes,1990,49.85,78.31,24.62
Deaths,Rate,Air pollution,All causes,North Macedonia,Age-standardized,Both sexes,1990,183.32,212.01,149.07
Deaths,Number,Air pollution,All causes,Czechia,All ages,Both sexes,1990,13622.18,19820.68,7548.98
Deaths,Number,Air pollution,All causes,San Marino,All ages,Both sexes,1990,5.54,10.69,1.71
Deaths,Rate,Air pollution,All causes,San Marino,All ages,Both sexes,1990,23.51,45.38,7.25
Deaths,Number,Air pollution,All causes,Republic of Moldova,All ages,Both sexes,1990,6081.29,7453.65,4580.95
Deaths,Rate,Air pollution,All causes,Republic of Moldova,All ages,Both sexes,1990,136.77,167.64,103.03
Deaths,Number,Air pollution,All causes,Slovenia,All ages,Both sexes,1990,1626.06,2437.56,960.88
Deaths,Rate,Air pollution,All causes,Slovenia,All ages,Both sexes,1990,82.50,123.67,48.75
Deaths,Number,Air pollution,All causes,Serbia,All ages,Both sexes,1990,16356.96,19136.24,12898.07
Deaths,Rate,Air pollution,All causes,Serbia,All ages,Both sexes,1990,174.06,203.63,137.25
Deaths,Rate,Air pollution,All causes,Serbia,Age-standardized,Both sexes,1990,163.86,191.76,129.49
Deaths,Number,Air pollution,All causes,Cyprus,All ages,Both sexes,1990,409.31,659.79,194.95
Deaths,Rate,Air pollution,All causes,Cyprus,All ages,Both sexes,1990,52.61,84.80,25.06
Deaths,Rate,Air pollution,All causes,Cyprus,Age-standardized,Both sexes,1990,62.60,101.75,30.04
Deaths,Number,Air pollution,All causes,Netherlands,All ages,Both sexes,1990,8847.11,14013.47,4326.89
Deaths,Rate,Air pollution,All causes,Netherlands,All ages,Both sexes,1990,59.28,93.90,28.99
Deaths,Number,Air pollution,All causes,Finland,All ages,Both sexes,1990,1389.28,3011.63,187.78
Deaths,Rate,Air pollution,All causes,Finland,All ages,Both sexes,1990,27.73,60.11,3.75
Deaths,Number,Air pollution,All causes,Luxembourg,All ages,Both sexes,1990,216.39,367.96,89.24
Deaths,Rate,Air pollution,All causes,Luxembourg,All ages,Both sexes,1990,56.76,96.51,23.41
Deaths,Rate,Air pollution,All causes,Luxembourg,Age-standardized,Both sexes,1990,40.16,68.28,16.70
Deaths,Rate,Air pollution,All causes,Iceland,All ages,Both sexes,1990,12.71,30.83,1.66
Deaths,Rate,Air pollution,All causes,Iceland,Age-standardized,Both sexes,1990,11.03,26.69,1.46
Deaths,Number,Air pollution,All causes,Austria,All ages,Both sexes,1990,5409.80,8352.22,2846.64
Deaths,Rate,Air pollution,All causes,Austria,All ages,Both sexes,1990,69.64,107.51,36.64
Deaths,Rate,Air pollution,All causes,San Marino,Age-standardized,Both sexes,1990,17.14,33.09,5.30
Deaths,Number,Air pollution,All causes,Iceland,All ages,Both sexes,1990,32.28,78.30,4.20
Deaths,Rate,Air pollution,All causes,Slovenia,Age-standardized,Both sexes,1990,68.82,103.16,40.66
Deaths,Rate,Air pollution,All causes,Netherlands,Age-standardized,Both sexes,1990,44.02,69.37,21.48
Deaths,Rate,Air pollution,All causes,United Kingdom,Age-standardized,Both sexes,1990,45.94,76.46,19.82
Deaths,Number,Air pollution,All causes,Andorra,All ages,Both sexes,1990,10.20,18.44,3.80
Deaths,Rate,Air pollution,All causes,Andorra,All ages,Both sexes,1990,18.86,34.10,7.02
Deaths,Rate,Air pollution,All causes,Andorra,Age-standardized,Both sexes,1990,21.90,38.84,8.29
Deaths,Rate,Air pollution,All causes,Sweden,Age-standardized,Both sexes,1990,17.52,36.41,3.64
Deaths,Number,Air pollution,All causes,Latvia,All ages,Both sexes,1990,3214.66,4667.17,1841.33
Deaths,Rate,Air pollution,All causes,Latvia,All ages,Both sexes,1990,120.91,175.54,69.26
Deaths,Rate,Air pollution,All causes,Latvia,Age-standardized,Both sexes,1990,91.51,133.53,52.31
Deaths,Number,Air pollution,All causes,Portugal,All ages,Both sexes,1990,4584.44,8201.05,1663.13
Deaths,Number,Air pollution,All causes,Sweden,All ages,Both sexes,1990,2786.33,5783.81,551.61
Deaths,Rate,Air pollution,All causes,Sweden,All ages,Both sexes,1990,32.44,67.34,6.42
Deaths,Rate,Air pollution,All causes,Republic of Moldova,Age-standardized,Both sexes,1990,156.50,192.49,117.41
Deaths,Rate,Air pollution,All causes,Italy,Age-standardized,Both sexes,1990,49.04,70.78,29.17
Deaths,Rate,Air pollution,All causes,Ukraine,Age-standardized,Both sexes,1990,99.18,148.00,55.48
Deaths,Rate,Air pollution,All causes,Portugal,All ages,Both sexes,1990,45.22,80.90,16.41
Deaths,Rate,Air pollution,All causes,Portugal,Age-standardized,Both sexes,1990,34.99,62.10,12.79
Deaths,Number,Air pollution,All causes,Romania,All ages,Both sexes,1990,31878.29,41055.13,22769.21
Deaths,Rate,Air pollution,All causes,Romania,All ages,Both sexes,1990,136.25,175.48,97.32
Deaths,Rate,Air pollution,All causes,Greece,Age-standardized,Both sexes,1990,49.99,77.56,25.74
Deaths,Rate,Air pollution,All causes,Croatia,Age-standardized,Both sexes,1990,94.60,131.41,58.93
Deaths,Number,Air pollution,All causes,United Kingdom,All ages,Both sexes,1990,42075.14,70496.71,17666.69
Deaths,Rate,Air pollution,All causes,United Kingdom,All ages,Both sexes,1990,73.21,122.66,30.74
Deaths,Number,Air pollution,All causes,France,All ages,Both sexes,1990,24269.33,39249.76,11577.21
Deaths,Rate,Air pollution,All causes,France,All ages,Both sexes,1990,42.01,67.94,20.04
Deaths,Rate,Air pollution,All causes,France,Age-standardized,Both sexes,1990,28.40,45.79,13.65
Deaths,Rate,Air pollution,All causes,Belgium,All ages,Both sexes,1990,72.27,113.29,35.68
Deaths,Rate,Air pollution,All causes,Belgium,Age-standardized,Both sexes,1990,46.56,72.94,23.13
Deaths,Rate,Air pollution,All causes,Montenegro,Age-standardized,Both sexes,1990,108.46,135.52,78.83
Deaths,Number,Air pollution,All causes,Ukraine,All ages,Both sexes,1990,66752.08,99509.99,37226.18
Deaths,Rate,Air pollution,All causes,Ukraine,All ages,Both sexes,1990,126.75,188.96,70.69
Deaths,Number,Air pollution,All causes,Montenegro,All ages,Both sexes,1990,635.37,796.35,459.29
Deaths,Rate,Air pollution,All causes,Montenegro,All ages,Both sexes,1990,101.54,127.27,73.40
Deaths,Number,Air pollution,All causes,Greece,All ages,Both sexes,1990,7362.32,11484.54,3787.01
Deaths,Rate,Air pollution,All causes,Greece,All ages,Both sexes,1990,70.86,110.54,36.45
Deaths,Number,Air pollution,All causes,Malta,All ages,Both sexes,1990,189.24,310.02,89.75
Deaths,Rate,Air pollution,All causes,Malta,All ages,Both sexes,1990,51.05,83.63,24.21
Deaths,Number,Air pollution,All causes,Ireland,All ages,Both sexes,1990,1551.79,2787.98,516.16
Deaths,Rate,Air pollution,All causes,Ireland,All ages,Both sexes,1990,43.09,77.42,14.33
Deaths,Rate,Air pollution,All causes,Ireland,Age-standardized,Both sexes,1990,38.76,70.09,13.07
Deaths,Number,Air pollution,All causes,Estonia,All ages,Both sexes,1990,1169.82,1881.98,558.17
Deaths,Rate,Air pollution,All causes,Estonia,All ages,Both sexes,1990,74.57,119.97,35.58
Deaths,Number,Air pollution,All causes,Monaco,All ages,Both sexes,1990,13.89,28.21,2.47
Deaths,Rate,Air pollution,All causes,Monaco,All ages,Both sexes,1990,45.65,92.68,8.12
Deaths,Rate,Air pollution,All causes,Monaco,Age-standardized,Both sexes,1990,18.27,36.47,3.27
Deaths,Number,Air pollution,All causes,Croatia,All ages,Both sexes,1990,5586.89,7747.31,3471.41
Deaths,Rate,Air pollution,All causes,Croatia,All ages,Both sexes,1990,114.00,158.09,70.84
Deaths,Number,Air pollution,All causes,Norway,All ages,Both sexes,1990,1711.80,3268.93,481.58
Deaths,Rate,Air pollution,All causes,Norway,All ages,Both sexes,1990,40.31,76.97,11.34
Deaths,Number,Air pollution,All causes,Hungary,All ages,Both sexes,1990,16250.29,21374.81,11065.44
Deaths,Rate,Air pollution,All causes,Hungary,All ages,Both sexes,1990,156.36,205.67,106.47
Deaths,Number,Air pollution,All causes,Slovakia,All ages,Both sexes,1990,6025.84,8755.99,3389.79
Deaths,Rate,Air pollution,All causes,Slovakia,All ages,Both sexes,1990,114.06,165.74,64.17
Deaths,Number,Air pollution,All causes,Belgium,All ages,Both sexes,1990,7211.74,11305.61,3560.85
Deaths,Number,Air pollution,All causes,Italy,All ages,Both sexes,1990,43047.62,62109.93,25314.39
Deaths,Rate,Air pollution,All causes,Italy,All ages,Both sexes,1990,75.79,109.35,44.57
Deaths,Rate,Air pollution,All causes,Hungary,Age-standardized,Both sexes,1990,116.98,153.12,79.49
Deaths,Rate,Air pollution,All causes,Norway,Age-standardized,Both sexes,1990,24.20,46.13,7.01
Deaths,Number,Air pollution,All causes,Denmark,All ages,Both sexes,1990,3768.72,6190.33,1613.52
Deaths,Rate,Air pollution,All causes,Denmark,All ages,Both sexes,1990,73.26,120.34,31.37
Deaths,Rate,Air pollution,All causes,Romania,Age-standardized,Both sexes,1990,129.52,166.88,92.35
Deaths,Rate,Air pollution,All causes,Denmark,Age-standardized,Both sexes,1990,45.44,74.29,19.67
Deaths,Rate,Air pollution,All causes,Estonia,Age-standardized,Both sexes,1990,59.10,94.84,28.48
Deaths,Rate,Air pollution,All causes,Slovakia,Age-standardized,Both sexes,1990,104.25,151.39,58.86
Deaths,Rate,Air pollution,All causes,Malta,Age-standardized,Both sexes,1990,46.26,75.70,22.25
Deaths,Number,Air pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,1990,5179.22,5782.42,4461.69
Deaths,Rate,Air pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,1990,114.13,127.42,98.32
Deaths,Rate,Air pollution,All causes,Bosnia and Herzegovina,Age-standardized,Both sexes,1990,149.60,167.90,127.98
Deaths,Number,Air pollution,All causes,Russian Federation,All ages,Both sexes,1990,135823.23,210826.58,65170.08
Deaths,Rate,Air pollution,All causes,Russian Federation,All ages,Both sexes,1990,89.94,139.60,43.15
Deaths,Rate,Air pollution,All causes,Russian Federation,Age-standardized,Both sexes,1990,81.73,127.83,39.09
Deaths,Number,Air pollution,All causes,Lithuania,All ages,Both sexes,1990,3032.62,4582.72,1575.67
Deaths,Rate,Air pollution,All causes,Lithuania,All ages,Both sexes,1990,82.55,124.75,42.89
Deaths,Rate,Air pollution,All causes,Lithuania,Age-standardized,Both sexes,1990,68.14,102.89,35.55
Deaths,Number,Air pollution,All causes,Spain,All ages,Both sexes,1990,16349.46,27010.70,7182.11
Deaths,Rate,Air pollution,All causes,Spain,All ages,Both sexes,1990,42.16,69.65,18.52
Deaths,Rate,Air pollution,All causes,Spain,Age-standardized,Both sexes,1990,30.90,51.01,13.63
Deaths,Number,Air pollution,All causes,Switzerland,All ages,Both sexes,1990,3740.21,6060.04,1727.78
Deaths,Rate,Air pollution,All causes,Switzerland,All ages,Both sexes,1990,54.48,88.27,25.17
Deaths,Rate,Air pollution,All causes,Switzerland,Age-standardized,Both sexes,1990,34.52,55.59,16.11
Deaths,Number,Air pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,2019,4836.80,6237.73,3757.81
Deaths,Rate,Air pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,2019,146.57,189.02,113.87
Deaths,Rate,Air pollution,All causes,Bosnia and Herzegovina,Age-standardized,Both sexes,2019,84.38,107.85,65.92
Deaths,Number,Air pollution,All causes,Croatia,All ages,Both sexes,2019,3389.88,4344.11,2548.94
Deaths,Rate,Air pollution,All causes,Croatia,All ages,Both sexes,2019,79.80,102.26,60.00
Deaths,Number,Air pollution,All causes,Bulgaria,All ages,Both sexes,2019,11013.15,14042.85,8405.94
Deaths,Rate,Air pollution,All causes,Bulgaria,All ages,Both sexes,2019,158.81,202.50,121.22
Deaths,Rate,Air pollution,All causes,Bulgaria,Age-standardized,Both sexes,2019,76.10,96.88,57.92
Deaths,Rate,Air pollution,All causes,Albania,Age-standardized,Both sexes,2019,54.94,73.35,39.41
Deaths,Rate,Air pollution,All causes,Republic of Moldova,Age-standardized,Both sexes,2019,42.59,59.97,25.67
Deaths,Rate,Air pollution,All causes,Ukraine,Age-standardized,Both sexes,2019,60.95,86.33,38.52
Deaths,Number,Air pollution,All causes,Czechia,All ages,Both sexes,2019,6606.62,8394.29,5040.06
Deaths,Number,Air pollution,All causes,Russian Federation,All ages,Both sexes,2019,77516.50,111191.46,45137.42
Deaths,Rate,Air pollution,All causes,Russian Federation,All ages,Both sexes,2019,52.83,75.79,30.76
Deaths,Rate,Air pollution,All causes,Russian Federation,Age-standardized,Both sexes,2019,33.37,47.84,19.44
Deaths,Rate,Air pollution,All causes,Finland,Age-standardized,Both sexes,2019,3.14,6.23,0.76
Deaths,Rate,Air pollution,All causes,Germany,Age-standardized,Both sexes,2019,14.03,17.79,10.44
Deaths,Number,Air pollution,All causes,France,All ages,Both sexes,2019,14333.67,18561.91,10397.60
Deaths,Rate,Air pollution,All causes,France,All ages,Both sexes,2019,21.65,28.04,15.71
Deaths,Rate,Air pollution,All causes,France,Age-standardized,Both sexes,2019,9.34,12.04,6.76
Deaths,Number,Air pollution,All causes,Greece,All ages,Both sexes,2019,6218.68,7651.33,4726.23
Deaths,Rate,Air pollution,All causes,Greece,All ages,Both sexes,2019,60.16,74.02,45.72
Deaths,Number,Air pollution,All causes,Germany,All ages,Both sexes,2019,29252.18,37457.41,21613.37
Deaths,Rate,Air pollution,All causes,Germany,All ages,Both sexes,2019,34.45,44.11,25.45
Deaths,Number,Air pollution,All causes,Iceland,All ages,Both sexes,2019,18.76,36.45,5.33
Deaths,Number,Air pollution,All causes,Monaco,All ages,Both sexes,2019,16.43,23.39,9.99
Deaths,Rate,Air pollution,All causes,Monaco,All ages,Both sexes,2019,43.74,62.25,26.59
Deaths,Rate,Air pollution,All causes,Monaco,Age-standardized,Both sexes,2019,15.66,22.48,9.50
Deaths,Number,Air pollution,All causes,Luxembourg,All ages,Both sexes,2019,102.50,139.69,67.70
Deaths,Rate,Air pollution,All causes,Luxembourg,All ages,Both sexes,2019,16.57,22.58,10.95
