Country,ISO3,Region,Name,Exposure Mean,Year,Pollutant,Pollutant Name,Region Name
Iceland,ISL,region,Western Europe,7.22,1990,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,24.1,1995,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,24.3,2000,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,22.2,2005,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,21.6,2010,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,23.4,2011,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,21.6,2012,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,20.1,2013,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,19.9,2014,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,19.5,2015,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,17.8,2016,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,19,2017,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,18.8,2018,pm25,PM25,GBD Regions
Albania,ALB,region,Central Europe,18.6,2019,pm25,PM25,GBD Regions
Finland,FIN,region,Western Europe,8.8,1990,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,12.9,1995,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,13.6,2000,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,12.2,2005,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,11.3,2010,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,12.3,2011,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,11.2,2012,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,10.2,2013,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,9.59,2014,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,10.3,2015,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,8.94,2016,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,9.14,2017,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,9.18,2018,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,9.07,2019,pm25,PM25,GBD Regions
Sweden,SWE,region,Western Europe,9.78,1990,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,20.1,1995,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,17.3,2000,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,16.5,2005,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,15.7,2010,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,16.1,2011,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,14.5,2012,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,14.5,2013,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,12.8,2014,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,13.4,2015,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,12.3,2016,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,12,2017,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,12.3,2018,pm25,PM25,GBD Regions
Austria,AUT,region,Western Europe,12.2,2019,pm25,PM25,GBD Regions
Estonia,EST,region,Eastern Europe,9.91,1990,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,23.1,1995,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,21.8,2000,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,21,2005,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,22.1,2010,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,19.6,2011,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,18.9,2012,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,19.8,2013,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,20.2,2014,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,18.5,2015,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,16.7,2016,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,16.4,2017,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,16.5,2018,pm25,PM25,GBD Regions
Belarus,BLR,region,Eastern Europe,16.4,2019,pm25,PM25,GBD Regions
Monaco,MCO,region,Western Europe,10.2,1990,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,19.7,1995,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,17.6,2000,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,15.8,2005,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,16.9,2010,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,16.1,2011,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,15.1,2012,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,14.2,2013,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,12.8,2014,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,13.2,2015,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,12.4,2016,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,12.8,2017,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,12.8,2018,pm25,PM25,GBD Regions
Belgium,BEL,region,Western Europe,12.7,2019,pm25,PM25,GBD Regions
Portugal,PRT,region,Western Europe,11.6,1990,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,36.3,1995,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,38.2,2000,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,36,2005,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,34.4,2010,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,38.1,2011,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,34.5,2012,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,33,2013,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,31.6,2014,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,32.9,2015,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,28.8,2016,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,29.9,2017,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,29.9,2018,pm25,PM25,GBD Regions
Bosnia and Herzegovina,BIH,region,Central Europe,29.5,2019,pm25,PM25,GBD Regions
Norway,NOR,region,Western Europe,11.8,1990,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,26.7,1995,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,26,2000,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,23.9,2005,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,22.8,2010,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,25.6,2011,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,22.6,2012,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,21.2,2013,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,21.6,2014,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,20.3,2015,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,19.4,2016,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,19.7,2017,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,19.7,2018,pm25,PM25,GBD Regions
Bulgaria,BGR,region,Central Europe,19.4,2019,pm25,PM25,GBD Regions
San Marino,SMR,region,Western Europe,12.6,1990,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,25.7,1995,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,23.7,2000,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,23.1,2005,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,21.2,2010,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,23.2,2011,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,20.6,2012,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,20,2013,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,19.5,2014,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,19.9,2015,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,17.7,2016,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,18.3,2017,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,18.6,2018,pm25,PM25,GBD Regions
Croatia,HRV,region,Central Europe,18.5,2019,pm25,PM25,GBD Regions
Ireland,IRL,region,Western Europe,12.7,1990,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,18.8,1995,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,18.5,2000,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,18,2005,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,18.8,2010,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,18.5,2011,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,16.8,2012,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,16.3,2013,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,16.4,2014,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,17.1,2015,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,14.4,2016,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,15.1,2017,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,15.6,2018,pm25,PM25,GBD Regions
Cyprus,CYP,region,Western Europe,15.6,2019,pm25,PM25,GBD Regions
Spain,ESP,region,Western Europe,14,1990,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,24.9,1995,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,21.4,2000,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,20.9,2005,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,20.5,2010,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,20.8,2011,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,19,2012,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,18.7,2013,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,18.2,2014,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,17.6,2015,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,16.7,2016,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,16.7,2017,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,17,2018,pm25,PM25,GBD Regions
Czechia,CZE,region,Central Europe,16.8,2019,pm25,PM25,GBD Regions
Andorra,AND,region,Western Europe,14.3,1990,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,15.4,1995,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,14.5,2000,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,13.1,2005,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,13.3,2010,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,13.6,2011,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,10.8,2012,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,10.4,2013,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,11,2014,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,10.2,2015,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,9.29,2016,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,10.3,2017,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,9.87,2018,pm25,PM25,GBD Regions
Denmark,DNK,region,Western Europe,9.79,2019,pm25,PM25,GBD Regions
