Exposure Id,Type,Country,ISO3,Region,Name,Exposure Lower,Exposure Mean,Exposure Upper,Year,Pollutant,Pollutant Name,Region Name
32131,country,Antigua and Barbuda,ATG,region,Caribbean,6.85,18.10,40.1,1990,pm25,PM25,GBD Regions
32132,country,Antigua and Barbuda,ATG,region,Caribbean,7.41,18.1,38.7,1995,pm25,PM25,GBD Regions
32133,country,Antigua and Barbuda,ATG,region,Caribbean,7.76,18.2,36.6,2000,pm25,PM25,GBD Regions
32134,country,Antigua and Barbuda,ATG,region,Caribbean,7.2,16.6,30.6,2005,pm25,PM25,GBD Regions
32135,country,Antigua and Barbuda,ATG,region,Caribbean,8.59,16.9,29.3,2010,pm25,PM25,GBD Regions
32136,country,Antigua and Barbuda,ATG,region,Caribbean,7.91,16.1,29,2011,pm25,PM25,GBD Regions
32137,country,Antigua and Barbuda,ATG,region,Caribbean,8.83,16.8,29.5,2012,pm25,PM25,GBD Regions
32138,country,Antigua and Barbuda,ATG,region,Caribbean,8.54,16.9,29.9,2013,pm25,PM25,GBD Regions
32139,country,Antigua and Barbuda,ATG,region,Caribbean,7.96,16.5,29.3,2014,pm25,PM25,GBD Regions
32140,country,Antigua and Barbuda,ATG,region,Caribbean,9.18,18.1,31.2,2015,pm25,PM25,GBD Regions
32141,country,Antigua and Barbuda,ATG,region,Caribbean,8.65,17.7,31.3,2016,pm25,PM25,GBD Regions
32142,country,Antigua and Barbuda,ATG,region,Caribbean,8.12,17.2,31,2017,pm25,PM25,GBD Regions
32143,country,Antigua and Barbuda,ATG,region,Caribbean,8.5,17.6,31.5,2018,pm25,PM25,GBD Regions
32144,country,Antigua and Barbuda,ATG,region,Caribbean,8.52,17.6,31.5,2019,pm25,PM25,GBD Regions
31963,country,Argentina,ARG,region,Southern Latin America,7.24,15.6,27.8,1990,pm25,PM25,GBD Regions
31964,country,Argentina,ARG,region,Southern Latin America,8.33,15.5,27.6,1995,pm25,PM25,GBD Regions
31965,country,Argentina,ARG,region,Southern Latin America,8.27,14.2,22.9,2000,pm25,PM25,GBD Regions
31966,country,Argentina,ARG,region,Southern Latin America,8.88,13.3,19.9,2005,pm25,PM25,GBD Regions
31967,country,Argentina,ARG,region,Southern Latin America,10.8,13.7,17.4,2010,pm25,PM25,GBD Regions
31968,country,Argentina,ARG,region,Southern Latin America,11.2,14.2,17.9,2011,pm25,PM25,GBD Regions
31969,country,Argentina,ARG,region,Southern Latin America,10.5,13.4,17,2012,pm25,PM25,GBD Regions
31970,country,Argentina,ARG,region,Southern Latin America,11.6,14.7,18.5,2013,pm25,PM25,GBD Regions
31971,country,Argentina,ARG,region,Southern Latin America,10.9,13.8,17,2014,pm25,PM25,GBD Regions
31972,country,Argentina,ARG,region,Southern Latin America,11.6,14.6,18,2015,pm25,PM25,GBD Regions
31973,country,Argentina,ARG,region,Southern Latin America,11.2,14.1,17.5,2016,pm25,PM25,GBD Regions
31974,country,Argentina,ARG,region,Southern Latin America,10.5,13.6,17.7,2017,pm25,PM25,GBD Regions
31975,country,Argentina,ARG,region,Southern Latin America,10.5,13.6,17.7,2018,pm25,PM25,GBD Regions
31976,country,Argentina,ARG,region,Southern Latin America,10.4,13.5,17.5,2019,pm25,PM25,GBD Regions
32173,country,Bahamas,BHS,region,Caribbean,6.25,16.8,35.5,1990,pm25,PM25,GBD Regions
32174,country,Bahamas,BHS,region,Caribbean,6.68,17,34.6,1995,pm25,PM25,GBD Regions
32175,country,Bahamas,BHS,region,Caribbean,7.1,17.4,33.6,2000,pm25,PM25,GBD Regions
32176,country,Bahamas,BHS,region,Caribbean,7.32,16.4,31.1,2005,pm25,PM25,GBD Regions
32177,country,Bahamas,BHS,region,Caribbean,7.42,15.4,28.7,2010,pm25,PM25,GBD Regions
32178,country,Bahamas,BHS,region,Caribbean,7.65,15.6,29,2011,pm25,PM25,GBD Regions
32179,country,Bahamas,BHS,region,Caribbean,8.53,16.4,29.3,2012,pm25,PM25,GBD Regions
32180,country,Bahamas,BHS,region,Caribbean,7.66,15.7,28.7,2013,pm25,PM25,GBD Regions
32181,country,Bahamas,BHS,region,Caribbean,7.93,16.2,29.1,2014,pm25,PM25,GBD Regions
32182,country,Bahamas,BHS,region,Caribbean,8.03,16.2,28.9,2015,pm25,PM25,GBD Regions
32183,country,Bahamas,BHS,region,Caribbean,7.6,15.9,28.3,2016,pm25,PM25,GBD Regions
32184,country,Bahamas,BHS,region,Caribbean,6.94,15.4,28.8,2017,pm25,PM25,GBD Regions
32185,country,Bahamas,BHS,region,Caribbean,7.21,15.7,29.2,2018,pm25,PM25,GBD Regions
32186,country,Bahamas,BHS,region,Caribbean,7.05,15.6,29.2,2019,pm25,PM25,GBD Regions
32215,country,Barbados,BRB,region,Caribbean,8.29,22,47.8,1990,pm25,PM25,GBD Regions
32216,country,Barbados,BRB,region,Caribbean,8.84,22,45.7,1995,pm25,PM25,GBD Regions
32217,country,Barbados,BRB,region,Caribbean,9.05,22.1,43,2000,pm25,PM25,GBD Regions
32218,country,Barbados,BRB,region,Caribbean,8.36,19.8,36.5,2005,pm25,PM25,GBD Regions
32219,country,Barbados,BRB,region,Caribbean,9.96,19.9,35.6,2010,pm25,PM25,GBD Regions
32220,country,Barbados,BRB,region,Caribbean,9.3,19.2,35.1,2011,pm25,PM25,GBD Regions
32221,country,Barbados,BRB,region,Caribbean,10.4,20.1,34.9,2012,pm25,PM25,GBD Regions
32222,country,Barbados,BRB,region,Caribbean,9.89,20.1,36.1,2013,pm25,PM25,GBD Regions
32223,country,Barbados,BRB,region,Caribbean,10.3,20.2,36.5,2014,pm25,PM25,GBD Regions
32224,country,Barbados,BRB,region,Caribbean,11.7,21.9,37.3,2015,pm25,PM25,GBD Regions
32225,country,Barbados,BRB,region,Caribbean,10.2,21.1,37.5,2016,pm25,PM25,GBD Regions
32226,country,Barbados,BRB,region,Caribbean,9.93,20.9,37.6,2017,pm25,PM25,GBD Regions
32227,country,Barbados,BRB,region,Caribbean,10.3,21.3,37.7,2018,pm25,PM25,GBD Regions
32228,country,Barbados,BRB,region,Caribbean,10.4,21.3,37.8,2019,pm25,PM25,GBD Regions
32257,country,Belize,BLZ,region,Caribbean,7.81,23.6,55.2,1990,pm25,PM25,GBD Regions
32258,country,Belize,BLZ,region,Caribbean,7.75,23,52.2,1995,pm25,PM25,GBD Regions
32259,country,Belize,BLZ,region,Caribbean,8.06,22.6,48.3,2000,pm25,PM25,GBD Regions
32260,country,Belize,BLZ,region,Caribbean,8.41,21,41.8,2005,pm25,PM25,GBD Regions
32261,country,Belize,BLZ,region,Caribbean,7.94,18.7,36,2010,pm25,PM25,GBD Regions
32262,country,Belize,BLZ,region,Caribbean,8.73,21,40.9,2011,pm25,PM25,GBD Regions
32263,country,Belize,BLZ,region,Caribbean,8.21,19.7,37,2012,pm25,PM25,GBD Regions
32264,country,Belize,BLZ,region,Caribbean,9.41,22.4,43.1,2013,pm25,PM25,GBD Regions
32265,country,Belize,BLZ,region,Caribbean,9.34,21.7,41,2014,pm25,PM25,GBD Regions
32266,country,Belize,BLZ,region,Caribbean,9.07,22.1,42.1,2015,pm25,PM25,GBD Regions
32267,country,Belize,BLZ,region,Caribbean,8.74,21.1,40.9,2016,pm25,PM25,GBD Regions
32268,country,Belize,BLZ,region,Caribbean,8.47,21,41.9,2017,pm25,PM25,GBD Regions
32269,country,Belize,BLZ,region,Caribbean,8.57,21.3,42.8,2018,pm25,PM25,GBD Regions
32270,country,Belize,BLZ,region,Caribbean,8.54,21.2,42.7,2019,pm25,PM25,GBD Regions
32761,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,20.6,50,110,1990,pm25,PM25,GBD Regions
32762,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.8,43.1,80.3,1995,pm25,PM25,GBD Regions
32763,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,16.6,30,49.8,2000,pm25,PM25,GBD Regions
32764,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,16.7,27.6,44,2005,pm25,PM25,GBD Regions
32765,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,21.3,31,44.5,2010,pm25,PM25,GBD Regions
32766,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.8,27.9,39.9,2011,pm25,PM25,GBD Regions
32767,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.4,27.7,39.2,2012,pm25,PM25,GBD Regions
32768,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,18.6,26.1,36.7,2013,pm25,PM25,GBD Regions
32769,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.3,27.6,38.9,2014,pm25,PM25,GBD Regions
32770,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.9,28.7,41.2,2015,pm25,PM25,GBD Regions
32771,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,19.3,27.6,39.1,2016,pm25,PM25,GBD Regions
32772,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,18.1,27.2,38.6,2017,pm25,PM25,GBD Regions
32773,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,18,27,38.3,2018,pm25,PM25,GBD Regions
32774,country,Bolivia (Plurinational State of),BOL,region,Andean Latin America,17.9,26.8,38,2019,pm25,PM25,GBD Regions
37339,country,Brazil,BRA,region,Tropical Latin America,7.32,14.6,26.6,1990,pm25,PM25,GBD Regions
37340,country,Brazil,BRA,region,Tropical Latin America,8.17,14.5,23.8,1995,pm25,PM25,GBD Regions
37341,country,Brazil,BRA,region,Tropical Latin America,9.31,14.6,22.1,2000,pm25,PM25,GBD Regions
37342,country,Brazil,BRA,region,Tropical Latin America,10.5,14.6,19.7,2005,pm25,PM25,GBD Regions
