Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Jamaica,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,201.4878503,365.2905904,90.04100489
Deaths,Jamaica,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,168.9990352,319.491221,73.31263333
Deaths,Saint Vincent and the Grenadines,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,14.06685444,29.15635043,4.377314416
Deaths,Saint Vincent and the Grenadines,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,14.8042435,32.18014642,4.14535614
Deaths,Trinidad and Tobago,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,341.285478,648.8075377,86.90362424
Deaths,Trinidad and Tobago,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,292.1760187,549.521718,73.06738635
Deaths,Antigua and Barbuda,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,12.34711699,23.28821429,3.598905407
Deaths,Antigua and Barbuda,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,10.92877494,21.47850631,3.145543461
Deaths,Barbados,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,68.65909936,121.1548909,22.56840427
Deaths,Barbados,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,82.19400193,144.3577942,25.97500733
Deaths,Cuba,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,2622.475231,4651.294017,1004.693734
Deaths,Cuba,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,2019.866027,3634.602581,761.8907121
Deaths,Guyana,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,192.0013668,374.2970158,54.83178106
Deaths,Guyana,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,128.2519326,260.871292,31.67379157
Deaths,Dominican Republic,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,418.6144843,907.7771375,130.5005622
Deaths,Dominican Republic,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,279.6602669,648.3144445,88.95259078
