Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Global,Both sexes,All ages,Diarrheal diseases,Air pollution,Number,1990,48497.67,61100.88,34102.37
Deaths,Global,Both sexes,All ages,Diarrheal diseases,Ambient particulate matter pollution,Number,1990,7314.64,13352.33,3742.81
Deaths,Global,Both sexes,All ages,Diarrheal diseases,Household air pollution from solid fuels,Number,1990,41183.03,53618.09,27348.27
Deaths,Global,Both sexes,All ages,Diarrheal diseases,Particulate matter pollution,Number,1990,48497.67,61100.88,34102.37
Deaths,Global,Both sexes,All ages,Encephalitis,Air pollution,Number,1990,480.28,597.34,331.69
Deaths,Global,Both sexes,All ages,Encephalitis,Ambient particulate matter pollution,Number,1990,103.34,173.98,52.39
Deaths,Global,Both sexes,All ages,Encephalitis,Household air pollution from solid fuels,Number,1990,376.94,488.16,252.48
Deaths,Global,Both sexes,All ages,Encephalitis,Particulate matter pollution,Number,1990,480.28,597.34,331.69
Deaths,Global,Both sexes,All ages,Neonatal sepsis and other neonatal infections,Air pollution,Number,1990,55279.48,65218.55,43365.53
Deaths,Global,Both sexes,All ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Number,1990,8118.28,14344.22,4243.67
Deaths,Global,Both sexes,All ages,Neonatal sepsis and other neonatal infections,Household air pollution from solid fuels,Number,1990,47161.19,57276.73,35706.57
Deaths,Global,Both sexes,All ages,Neonatal sepsis and other neonatal infections,Particulate matter pollution,Number,1990,55279.48,65218.55,43365.53
Deaths,Global,Both sexes,All ages,Hemolytic disease and other neonatal jaundice,Air pollution,Number,1990,28130.07,32954,23297.57
Deaths,Global,Both sexes,All ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Number,1990,4557.48,8851.71,2094.05
Deaths,Global,Both sexes,All ages,Hemolytic disease and other neonatal jaundice,Household air pollution from solid fuels,Number,1990,23572.59,28844.41,18219.52
Deaths,Global,Both sexes,All ages,Hemolytic disease and other neonatal jaundice,Particulate matter pollution,Number,1990,28130.07,32954,23297.57
Deaths,Global,Both sexes,All ages,Upper respiratory infections,Air pollution,Number,1990,134.97,246.81,26.74
Deaths,Global,Both sexes,All ages,Upper respiratory infections,Ambient particulate matter pollution,Number,1990,30.32,60.88,11.3
Deaths,Global,Both sexes,All ages,Upper respiratory infections,Household air pollution from solid fuels,Number,1990,104.65,207.02,14.32
Deaths,Global,Both sexes,All ages,Upper respiratory infections,Particulate matter pollution,Number,1990,134.97,246.81,26.74
Deaths,Global,Both sexes,All ages,Lower respiratory infections,Air pollution,Number,1990,1504620.16,1912034.92,1168858.64
Deaths,Global,Both sexes,All ages,Lower respiratory infections,Ambient particulate matter pollution,Number,1990,290358.46,463102.03,173196.65
Deaths,Global,Both sexes,All ages,Lower respiratory infections,Household air pollution from solid fuels,Number,1990,1214261.7,1653654.53,858319.01
Deaths,Global,Both sexes,All ages,Lower respiratory infections,Particulate matter pollution,Number,1990,1504620.16,1912034.92,1168858.64
Deaths,Global,Both sexes,All ages,Other neonatal disorders,Air pollution,Number,1990,112678.2,140940.8,91911.86
Deaths,Global,Both sexes,All ages,Other neonatal disorders,Ambient particulate matter pollution,Number,1990,20176.49,35314.44,11110.56
Deaths,Global,Both sexes,All ages,Other neonatal disorders,Household air pollution from solid fuels,Number,1990,92501.72,120772.56,71440.09
Deaths,Global,Both sexes,All ages,Other neonatal disorders,Particulate matter pollution,Number,1990,112678.2,140940.8,91911.86
